"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
1.040,0.26,-1.06,0.80,1.040,0.47,-1.05,-0.07,1.040,0.41,-1.13,-0.30,1.040,0.60,-1.11,-0.60,1.040,0.12,-0.43,12.03,1.040,0.67,-1.01,-0.20,1.040,0.78,-1.03,-2.19,1.040,0.59,-1.04,-0.42,1.040,0.72,-1.01,-0.13,1.040,0.62,-1.04,0.06
1.060,0.24,-1.05,0.45,1.060,0.45,-1.05,0.05,1.060,0.39,-1.14,-0.32,1.060,0.58,-1.12,-0.90,1.060,0.12,-0.14,177.45,1.060,0.65,-1.01,-0.16,1.060,0.76,-1.02,-0.32,1.060,0.57,-1.07,-0.44,1.060,0.70,-1.03,-0.37,1.060,0.60,-1.02,0.59
1.080,0.22,-1.05,0.21,1.080,0.43,-1.05,0.14,1.080,0.37,-1.15,-0.34,1.080,0.56,-1.15,-1.11,1.080,0.12,-0.28,556.55,1.080,0.63,-1.01,-0.13,1.080,0.74,-0.99,0.04,1.080,0.55,-1.06,-0.35,1.080,0.67,-1.04,-0.02,1.080,0.58,-1.00,0.58
1.100,0.20,-1.05,0.56,1.100,0.40,-1.04,0.14,1.100,0.34,-1.15,-0.31,1.100,0.53,-1.17,-0.96,1.100,0.12,20.34,685.10,1.100,0.61,-1.01,-0.13,1.100,0.72,-1.02,-0.03,1.100,0.53,-1.06,-0.49,1.100,0.65,-1.03,0.31,1.100,0.56,-1.00,0.30
1.120,0.18,-1.04,3.13,1.120,0.38,-1.04,0.04,1.120,0.32,-1.16,-0.22,1.120,0.51,-1.19,-0.54,1.120,0.09,45.87,137.66,1.120,0.59,-1.02,-0.17,1.120,0.70,-1.03,0.57,1.120,0.51,-1.08,-0.58,1.120,0.63,-1.01,0.18,1.120,0.54,-0.99,0.05
1.140,0.16,-0.99,9.50,1.140,0.36,-1.04,-0.05,1.140,0.30,-1.16,-0.14,1.140,0.48,-1.19,0.09,1.140,2.59,35.92,-755.86,1.140,0.57,-1.02,-0.20,1.140,0.68,-0.99,1.27,1.140,0.48,-1.10,-0.19,1.140,0.61,-1.02,-0.09,1.140,0.52,-0.99,-0.36
1.160,0.14,-0.73,15.55,1.160,0.34,-1.04,-0.05,1.160,0.27,-1.16,-0.07,1.160,0.46,-1.19,0.69,1.160,3.16,0.66,-1018.57,1.160,0.54,-1.03,-0.22,1.160,0.66,-0.95,1.19,1.160,0.46,-1.09,0.23,1.160,0.59,-1.03,0.09,1.160,0.50,-1.00,-1.02
1.180,0.12,-0.22,13.57,1.180,0.32,-1.04,0.00,1.180,0.25,-1.16,-0.04,1.180,0.44,-1.16,0.83,1.180,1.37,-25.15,-440.03,1.180,0.52,-1.03,-0.22,1.180,0.64,-0.94,0.47,1.180,0.44,-1.08,0.34,1.180,0.57,-1.02,0.60,1.180,0.48,-1.03,-1.25
1.200,0.13,0.05,86.05,1.200,0.30,-1.04,0.02,1.200,0.23,-1.16,-0.03,1.200,0.41,-1.14,0.23,1.200,1.40,-15.29,188.42,1.200,0.50,-1.03,-0.23,1.200,0.62,-0.93,-0.39,1.200,0.42,-1.08,0.27,1.200,0.55,-1.00,0.66,1.200,0.46,-1.07,-0.85
1.220,0.14,-0.14,242.28,1.220,0.28,-1.04,0.00,1.220,0.20,-1.16,0.86,1.220,0.39,-1.14,-0.73,1.220,1.34,-0.94,,1.220,0.48,-1.04,-0.26,1.220,0.60,-0.95,-1.10,1.220,0.40,-1.07,0.22,1.220,0.53,-0.98,0.00,1.220,0.43,-1.07,0.04
1.240,0.12,9.52,325.01,1.240,0.26,-1.04,0.10,1.240,0.18,-1.17,4.29,1.240,0.37,-1.18,-0.96,1.240,1.35,-0.94,,1.240,0.46,-1.04,-0.32,1.240,0.59,-0.99,-1.23,1.240,0.38,-1.07,0.21,1.240,0.51,-0.99,-0.94,1.240,0.41,-1.06,0.54
1.260,0.11,19.39,164.95,1.260,0.24,-1.04,0.23,1.260,0.16,-1.06,10.06,1.260,0.34,-1.21,-0.32,1.260,1.30,,,1.260,0.44,-1.05,-0.41,1.260,0.56,-1.01,-0.48,1.260,0.36,-1.06,0.12,1.260,0.49,-1.03,-1.38,1.260,0.39,-1.04,0.39
1.280,1.30,19.53,-162.52,1.280,0.22,-1.03,0.26,1.280,0.13,-0.75,12.43,1.280,0.32,-1.19,0.26,,,,,1.280,0.42,-1.06,-0.48,1.280,0.54,-1.01,0.21,1.280,0.33,-1.06,0.06,1.280,0.47,-1.06,-1.11,1.280,0.37,-1.04,0.07
1.300,1.29,9.64,-327.54,1.300,0.20,-1.03,0.89,1.300,0.12,-0.37,181.37,1.300,0.30,-1.17,0.27,,,,,1.300,0.40,-1.07,-0.50,1.300,0.52,-0.99,0.27,1.300,0.31,-1.06,0.04,1.300,0.45,-1.08,-0.55,1.300,0.35,-1.05,-0.09
1.320,1.29,-0.24,-245.50,1.320,0.18,-1.02,3.54,1.320,0.12,-0.37,521.93,1.320,0.27,-1.18,-0.04,,,,,1.320,0.38,-1.08,-0.43,1.320,0.50,-0.99,-0.09,1.320,0.29,-1.06,0.01,1.320,0.43,-1.08,-0.11,1.320,0.33,-1.04,-0.01
1.340,1.28,-0.15,-80.63,1.340,0.15,-0.94,8.57,1.340,0.12,20.32,716.15,1.340,0.25,-1.18,0.00,,,,,1.340,0.36,-1.09,-0.32,1.340,0.48,-1.00,-0.37,1.340,0.27,-1.06,-0.03,1.340,0.41,-1.08,0.07,1.340,0.31,-1.04,0.02
1.360,1.28,-0.14,1.22,1.360,0.14,-0.69,11.55,1.360,0.09,41.19,345.51,1.360,0.23,-1.18,0.25,,,,,1.360,0.33,-1.09,-0.24,1.360,0.46,-1.01,-0.41,1.360,0.25,-1.06,-0.11,1.360,0.39,-1.07,0.06,1.360,0.29,-1.04,0.01
